yb	VVc	bD50	Fr	ysb	Source
1.964071856	0.852272727	133.9515789	0.230832693	1.215568862	USGS
1.964071856	1.488636364	133.9515789	0.403187771	1.215568862	USGS
1.964071856	3.909090909	133.9515789	1.058752621	1.886227545	USGS
1.964071856	2.36036036	63.627	0.806375543	1.568862275	USGS
1.964071856	1.44047619	212.09	0.372410079	1.101796407	USGS
1.964071856	1.761904762	212.09	0.455509848	1.239520958	USGS
1.964071856	1.113636364	133.9515789	0.301621386	1.077844311	USGS
1.964071856	1.477477477	63.627	0.504754156	1.275449102	USGS
1.964071856	1.279220779	36.35828571	0.606320542	1.317365269	USGS
1.964071856	1.523809524	212.09	0.393954464	1.137724551	USGS
1.964071856	2.558441558	36.35828571	1.212641083	1.51497006	USGS
1.251908397	1.166666667	332.74	0.301621386	0.965648855	USGS
1.251908397	3.119047619	332.74	0.806375543	1.515267176	USGS
1.251908397	2.420454545	210.1515789	0.655564849	1.366412214	USGS
1.251908397	3.099099099	99.822	1.058752621	1.377862595	USGS
1.251908397	1.279220779	57.04114286	0.606320542	1.213740458	USGS
1.251908397	1.701298701	57.04114286	0.806375543	1.125954198	USGS
1.251908397	2.233766234	57.04114286	1.058752621	1.312977099	USGS
1.251908397	4.297619048	332.74	1.111074698	1.526717557	USGS
1.251908397	3.909090909	210.1515789	1.058752621	1.652671756	USGS
1.251908397	2.535714286	332.74	0.655564849	1.377862595	USGS
1.251908397	3.166666667	332.74	0.81868662	1.526717557	USGS
1.251908397	1.488636364	210.1515789	0.403187771	1.08778626	USGS
1.251908397	1.477477477	99.822	0.504754156	1.114503817	USGS
0.979104478	1.44047619	425.45	0.372410079	0.901492537	USGS
0.979104478	1.477477477	127.635	0.504754156	1.03880597	USGS
0.979104478	2.558441558	72.93428571	1.212641083	1.146268657	USGS
0.979104478	3.119047619	425.45	0.806375543	1.408955224	USGS
0.979104478	1.918918919	127.635	0.655564849	1.068656716	USGS
0.979104478	2.233766234	72.93428571	1.058752621	1.205970149	USGS
0.979104478	1.166666667	425.45	0.301621386	0.880597015	USGS
0.979104478	2.977272727	268.7052632	0.806375543	1.352238806	USGS
0.979104478	2.36036036	127.635	0.806375543	1.214925373	USGS
0.979104478	1.279220779	72.93428571	0.606320542	1.125373134	USGS
6.625	0.866141732	9.906	0.467181942	1.375	USGS
5.365384615	0.97752809	132.08	0.205293468	1.653846154	USGS
5.365384615	0.933962264	52.832	0.233609808	1.913461538	USGS
5.365384615	1.028301887	52.832	0.257206758	2.086538462	USGS
5.365384615	0.801169591	21.86151724	0.323278219	2.307692308	USGS
6.561904762	1.133858268	10.00125	0.611583633	1.095238095	USGS
6.561904762	1.212598425	10.00125	0.654054719	1.152380952	USGS
6.561904762	1.267716535	10.00125	0.683784479	1.066666667	USGS
5.314285714	1.449438202	133.35	0.304400659	1.533333333	USGS
5.314285714	1.481132075	53.34	0.37047212	1.876190476	USGS
5.314285714	1.842696629	133.35	0.386989985	1.685714286	USGS
5.314285714	1.726415094	53.34	0.431824191	1.714285714	USGS
5.314285714	1.811320755	53.34	0.453061446	1.847619048	USGS
